HGLibB_00001,11
HGLibB_00002,12
HGLibB_00003,12
HGLibB_00004,6
HGLibB_00005,9
HGLibB_00006,11
HGLibB_00007,5
HGLibB_00008,8
HGLibB_00009,13
HGLibB_00010,9
HGLibB_00011,9
HGLibB_00012,18
HGLibB_00013,10
HGLibB_00014,9
HGLibB_00015,8
HGLibB_00016,6
HGLibB_00017,11
HGLibB_00018,9
HGLibB_00019,14
HGLibB_00020,8
HGLibB_00021,11
HGLibB_00022,9
HGLibB_00023,5
HGLibB_00024,12
HGLibB_00025,13
HGLibB_00026,4
HGLibB_00027,11
HGLibB_00028,9
HGLibB_00029,11
HGLibB_00030,6
HGLibB_00031,7
HGLibB_00032,4
HGLibB_00033,9
HGLibB_00034,13
HGLibB_00035,3
HGLibB_00036,8
HGLibB_00037,13
HGLibB_00038,25
HGLibB_00039,11
HGLibB_00040,10
HGLibB_00041,9
HGLibB_00042,9
HGLibB_00043,9
HGLibB_00044,6
HGLibB_00045,3
HGLibB_00046,12
HGLibB_00047,11
HGLibB_00048,10
HGLibB_00049,8
HGLibB_00050,8
HGLibB_00051,7
HGLibB_00052,13
HGLibB_00053,10
HGLibB_00054,8
HGLibB_00055,10
HGLibB_00056,19
HGLibB_00057,19
HGLibB_00058,9
HGLibB_00059,10
HGLibB_00060,12
HGLibB_00061,8
HGLibB_00062,6
HGLibB_00063,3
HGLibB_00064,15
HGLibB_00065,8
HGLibB_00066,12
HGLibB_00067,12
HGLibB_00068,17
HGLibB_00069,12
HGLibB_00070,12
HGLibB_00071,8
HGLibB_00072,12
HGLibB_00073,12
HGLibB_00074,15
HGLibB_00075,7
HGLibB_00076,8
HGLibB_00077,7
HGLibB_00078,8
HGLibB_00079,9
HGLibB_00080,12
HGLibB_00081,8
HGLibB_00082,8
HGLibB_00083,7
HGLibB_00084,6
HGLibB_00085,12
HGLibB_00086,16
HGLibB_00087,15
HGLibB_00088,20
HGLibB_00089,5
HGLibB_00090,13
HGLibB_00091,5
HGLibB_00092,8
HGLibB_00093,12
HGLibB_00094,14
HGLibB_00095,9
HGLibB_00096,8
HGLibB_00097,12
HGLibB_00098,8
HGLibB_00099,7
HGLibB_00100,10
